year,mgmt_area,fishery,fishery_type,gear,whole_pounds
1982,CSEO,M07B,Trawl Incidental,Non-pelagic/bottom trawl,102.78
1983,CSEO,B05B,Halibut Incidental,Hand troll,43.15195504
1983,NSEI,B05B,Halibut Incidental,Hand troll,7.581104866
1983,CSEO,B06B,Halibut Incidental,Longline,1539.363011
1983,NSEI,B06B,Halibut Incidental,Longline,176.1848771
1983,SSEI,B06B,Halibut Incidental,Longline,869.739961
1983,CSEO,B26B,Halibut Incidental,Mechanical jigs,881.2956971
1983,EYKT,B26B,Halibut Incidental,Mechanical jigs,129.9108552
1983,NSEI,B26B,Halibut Incidental,Mechanical jigs,10.61354681
1983,SSEI,B26B,Halibut Incidental,Mechanical jigs,81.33745329
1983,CSEO,B61B,Halibut Incidental,Longline,10918.27447
1983,EYKT,B61B,Halibut Incidental,Longline,1165.319761
1983,NSEI,B61B,Halibut Incidental,Longline,219.5487969
1983,NSEO,B61B,Halibut Incidental,Longline,419.4531748
1983,SSEI,B61B,Halibut Incidental,Longline,1757.317083
1983,SSEO,B61B,Halibut Incidental,Longline,291.389832
1983,SSEI,M05B,Misc Incidental,Hand troll,451.5672731
1983,CSEO,M06B,Misc Incidental,Longline,82674.12741
1983,NSEI,M06B,Misc Incidental,Longline,2596.070324
1983,NSEO,M06B,Misc Incidental,Longline,37.75015303
1983,SSEI,M06B,Misc Incidental,Longline,11699.62564
1983,CSEO,M09B,Misc Incidental,Pot,1441.14776
1983,SSEI,M09B,Misc Incidental,Pot,499.8082602
1983,CSEO,M26B,Misc Incidental,Mechanical jigs,311.9644312
1983,SSEI,M26B,Misc Incidental,Mechanical jigs,1223.423067
1983,CSEO,M61B,Misc Incidental,Longline,171284.8171
1983,EYKT,M61B,Misc Incidental,Longline,11128.87324
1983,NSEI,M61B,Misc Incidental,Longline,12796.66634
1983,NSEO,M61B,Misc Incidental,Longline,3353.471927
1983,SSEI,M61B,Misc Incidental,Longline,132360.6153
1983,SSEO,M61B,Misc Incidental,Longline,58.9500561
1983,NSEI,Z99B,Mixed,Other/unspecified/missing,91.97361323
1983,CSEO,C06B,Sablefish Incidental,Longline,18.21798217
1983,NSEI,C06B,Sablefish Incidental,Longline,3.345623861
1983,SSEI,C06B,Sablefish Incidental,Longline,2.40191495
1983,CSEO,C61B,Sablefish Incidental,Longline,793.5551762
1983,EYKT,C61B,Sablefish Incidental,Longline,777.8829158
1983,NSEI,C61B,Sablefish Incidental,Longline,39.79144369
1983,NSEO,C61B,Sablefish Incidental,Longline,121.9116331
1983,SSEI,C61B,Sablefish Incidental,Longline,13.27150799
1983,SSEO,C61B,Sablefish Incidental,Longline,229.5901973
1983,NSEI,S03A,Salmon Incidental,Drift gillnet,367.7828944
1983,CSEO,S05B,Salmon Incidental,Hand troll,54.28225396
1983,NSEI,S05B,Salmon Incidental,Hand troll,6.007343102
1983,SSEI,S05B,Salmon Incidental,Hand troll,306.3006268
1983,CSEO,S15B,Salmon Incidental,Power gurdy troll,2003.809546
1983,EYKT,S15B,Salmon Incidental,Power gurdy troll,149.1627295
1983,NSEI,S15B,Salmon Incidental,Power gurdy troll,120.146862
1983,NSEO,S15B,Salmon Incidental,Power gurdy troll,208.5161837
1983,SSEI,S15B,Salmon Incidental,Power gurdy troll,251.5151488
1983,SSEO,S15B,Salmon Incidental,Power gurdy troll,60.05730507
1983,CSEO,S99S,Salmon Incidental,troll/salmon,906.9108284
1983,EYKT,S99S,Salmon Incidental,troll/salmon,69.48574354
1983,NSEI,S99S,Salmon Incidental,troll/salmon,77.42797776
1983,NSEO,S99S,Salmon Incidental,troll/salmon,201.7656597
1983,SSEI,S99S,Salmon Incidental,troll/salmon,291.3591328
1983,SSEO,S99S,Salmon Incidental,troll/salmon,62.03721623
1984,CSEO,B05B,Halibut Incidental,Hand troll,96.26205355
1984,CSEO,B06B,Halibut Incidental,Longline,1344.349368
1984,NSEI,B06B,Halibut Incidental,Longline,127.3625617
1984,NSEO,B06B,Halibut Incidental,Longline,32.46147483
1984,SSEI,B06B,Halibut Incidental,Longline,248.2932785
1984,CSEO,B26B,Halibut Incidental,Mechanical jigs,224.8880734
1984,SSEO,B26B,Halibut Incidental,Mechanical jigs,25.52319697
1984,CSEO,B61B,Halibut Incidental,Longline,10263.52654
1984,EYKT,B61B,Halibut Incidental,Longline,443.3773466
1984,NSEI,B61B,Halibut Incidental,Longline,228.3428786
1984,NSEO,B61B,Halibut Incidental,Longline,23.55048174
1984,SSEI,B61B,Halibut Incidental,Longline,8725.225581
1984,SSEO,B61B,Halibut Incidental,Longline,319.0399621
1984,CSEO,M05B,Misc Incidental,Hand troll,261.5100472
1984,SSEI,M05B,Misc Incidental,Hand troll,644.5312216
1984,CSEO,M06B,Misc Incidental,Longline,27349.11868
1984,NSEI,M06B,Misc Incidental,Longline,26.04827935
1984,NSEO,M06B,Misc Incidental,Longline,2903.166531
1984,SSEI,M06B,Misc Incidental,Longline,12616.99523
1984,SSEO,M06B,Misc Incidental,Longline,7.649496094
1984,CSEO,M16B,Misc Incidental,Longline,68.93063743
1984,CSEO,M26B,Misc Incidental,Mechanical jigs,61.11376102
1984,SSEI,M26B,Misc Incidental,Mechanical jigs,3359.470711
1984,SSEO,M26B,Misc Incidental,Mechanical jigs,2.405599108
1984,CSEO,M61B,Misc Incidental,Longline,220714.4798
1984,EYKT,M61B,Misc Incidental,Longline,1975.352113
1984,NSEI,M61B,Misc Incidental,Longline,1504.288132
1984,NSEO,M61B,Misc Incidental,Longline,2906.761783
1984,SSEI,M61B,Misc Incidental,Longline,131376.0247
1984,SSEO,M61B,Misc Incidental,Longline,228.1764842
1984,CSEO,0,Mixed,Longline,1751.199113
1984,CSEO,C06B,Sablefish Incidental,Longline,3.988420954
1984,NSEI,C06B,Sablefish Incidental,Longline,0.562017729
1984,SSEI,C09B,Sablefish Incidental,Pot,0.434783722
1984,SSEO,C09B,Sablefish Incidental,Pot,2.954869685
1984,CSEO,C61B,Sablefish Incidental,Longline,414.5885885
1984,EYKT,C61B,Sablefish Incidental,Longline,578.7095718
1984,NSEI,C61B,Sablefish Incidental,Longline,23.61651461
1984,NSEO,C61B,Sablefish Incidental,Longline,16.41625962
1984,SSEI,C61B,Sablefish Incidental,Longline,3.685057153
1984,SSEO,C61B,Sablefish Incidental,Longline,41.73356271
1984,SSEI,S03A,Salmon Incidental,Drift gillnet,3573.507313
1984,CSEO,S05B,Salmon Incidental,Hand troll,355.4825656
1984,NSEI,S05B,Salmon Incidental,Hand troll,74.75804749
