Filename,Frame,Time (HMS),Seconds,Period,Period time (HMS),Image row,Image col,OpCode,TapeReader,Depth,Comment,Year,Dive,Transect_Number,Dive_Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2018NSEO_Dive_25_10-34-18.000.avi,62189,11:09:01,40141,,,681,829,QC,EricaEbert,95,N/A,2018,25,44,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_26_11-42-17.000.avi,441,0:42:43,2563,,,624,792,QC,EricaEbert,80,N/A,2018,26,43,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2018NSEO_Dive_26_11-42-17.000.avi,52611,0:11:42,702,,,672,832,QC,EricaEbert,80,N/A,2018,26,43,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_27_13-18-21.000.avi,135,13:18:32,47912,,,691,839,QC,EricaEbert,90,N/A,2018,27,42,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2018NSEO_Dive_27_13-18-21.000.avi,67932,13:56:11,50171,,,679,835,QC,EricaEbert,90,N/A,2018,27,42,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_28_14-30-37.000.avi,83,14:30:41,52241,,,671,827,QC,EricaEbert,75,N/A,2018,28,41,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2018NSEO_Dive_28_14-30-37.000.avi,3545,14:32:36,52356,,,669,832,QC,EricaEbert,75,N/A,2018,28,41,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2018NSEO_Dive_28_14-30-37.000.avi,3883,14:32:47,52367,,,684,839,QC,EricaEbert,75,N/A,2018,28,41,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_28_14-30-37.000.avi,12602,14:37:38,52658,,,669,830,QC,EricaEbert,75,N/A,2018,28,41,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2018NSEO_Dive_28_14-30-37.000.avi,12889,14:37:48,52668,,,676,837,QC,EricaEbert,75,N/A,2018,28,41,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_28_14-30-37.000.avi,32343,14:48:36,53316,,,612,835,QC,EricaEbert,75,N/A,2018,28,41,Line,,,,,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
